longitude,latitude,forecast_date,param,param_tag,54h,60h,66h,72h
88.75,28.25,14-09-2025,temperature_celcius,t2m_cel,9.744775391,9.336206055,4.007531738,2.42220459
89,28.25,14-09-2025,temperature_celcius,t2m_cel,10.77602539,8.242456055,3.413781738,2.35970459
89.25,28.25,14-09-2025,temperature_celcius,t2m_cel,11.40102539,9.742456055,5.226281738,3.54720459
89.5,28.25,14-09-2025,temperature_celcius,t2m_cel,10.55727539,9.461206055,5.382531738,4.82845459
89.75,28.25,14-09-2025,temperature_celcius,t2m_cel,6.057275391,5.304956055,1.757531738,1.64095459
90,28.25,14-09-2025,temperature_celcius,t2m_cel,2.744775391,1.461206055,-0.242468262,-0.98404541
90.25,28.25,14-09-2025,temperature_celcius,t2m_cel,0.776025391,0.523706055,-1.867468262,-2.92154541
90.5,28.25,14-09-2025,temperature_celcius,t2m_cel,3.338525391,2.867456055,0.882531738,-0.26529541
90.75,28.25,14-09-2025,temperature_celcius,t2m_cel,6.307275391,5.648706055,2.695031738,1.98470459
91,28.25,14-09-2025,temperature_celcius,t2m_cel,10.86977539,10.24245605,5.757531738,5.26595459
91.25,28.25,14-09-2025,temperature_celcius,t2m_cel,8.369775391,8.242456055,4.445031738,4.07845459
91.5,28.25,14-09-2025,temperature_celcius,t2m_cel,6.182275391,5.117456055,1.882531738,1.07845459
91.75,28.25,14-09-2025,temperature_celcius,t2m_cel,9.151025391,7.023706055,3.726281738,3.17220459
92,28.25,14-09-2025,temperature_celcius,t2m_cel,6.338525391,5.836206055,1.695031738,1.04720459
88.75,28,14-09-2025,temperature_celcius,t2m_cel,3.619775391,2.773706055,-0.523718262,-0.79654541
89,28,14-09-2025,temperature_celcius,t2m_cel,6.776025391,5.086206055,1.507531738,0.51595459
89.25,28,14-09-2025,temperature_celcius,t2m_cel,10.36977539,9.554956055,5.788781738,3.98470459
89.5,28,14-09-2025,temperature_celcius,t2m_cel,7.651025391,5.492456055,2.663781738,2.48470459
89.75,28,14-09-2025,temperature_celcius,t2m_cel,9.963525391,8.179956055,5.445031738,5.10970459
90,28,14-09-2025,temperature_celcius,t2m_cel,7.776025391,6.929956055,4.132531738,3.64095459
90.25,28,14-09-2025,temperature_celcius,t2m_cel,3.963525391,2.992456055,1.820031738,1.35970459
90.5,28,14-09-2025,temperature_celcius,t2m_cel,2.307275391,1.367456055,0.070031738,-0.04654541
90.75,28,14-09-2025,temperature_celcius,t2m_cel,4.494775391,3.804956055,1.601281738,1.01595459
91,28,14-09-2025,temperature_celcius,t2m_cel,8.026025391,7.898706055,5.820031738,5.64095459
91.25,28,14-09-2025,temperature_celcius,t2m_cel,6.932275391,7.148706055,5.038781738,4.95345459
91.5,28,14-09-2025,temperature_celcius,t2m_cel,2.994775391,2.836206055,1.413781738,1.04720459
91.75,28,14-09-2025,temperature_celcius,t2m_cel,9.307275391,8.367456055,4.632531738,4.45345459
92,28,14-09-2025,temperature_celcius,t2m_cel,8.307275391,6.242456055,3.413781738,2.79720459
